Common name,Afrikaans name
Little Grebe,Kleindobbertjie
Reed Cormorant,Rietduiker
Grey Heron,Bloureier
Black-headed Heron,Swartkopreier
Cattle Egret,Bosluisvoël
Hamerkop,Hamerkop
Sacred Ibis,Skoorsteenveër
Hadeda Ibis,Hadeda
African Spoonbill,Lepelaar
Egyptian Goose,Kolgans
Yellow-billed Duck,Geelbek-Eend
White-backed Duck,Witrug-eend
Black-winged Kite,Blouvalk
Booted Eagle,Dwergarend
African Fish Eagle,Visarend
Common Buzzard,Bruinjakkalsvoël
Jackal Buzzard,Rooiborsjakkalsvoël
Rufous-breasted Sparrowhawk,Rooiborssperwer
Black Sparrowhawk,Swartsperwer
African Goshawk,Afrikaanse Sperwer
African Harrierhawk,Kaalwangvalk
Peregrine Falcon,Swerfvalk
Lanner Falcom,Edelvalk
Rock Kestrel,Kransvalk
Cape Spurfowl,Kaapse Fisant
Helmeted Guineafowl,Gewone Tarentaal
Red-Knobbed Coot,Bleshoender
Three-banded Plover,Driebandstrandkiewiet
Crowned Lapwing,Kroonkiewiet
Blacksmith Lapwing,Bontkiewiet
Spotted Thick-knee,Gewone Dikkop
Speckled Pigeon,Kransduif
Red-eyed Dove,Grootringduif
Laughing Dove,Rooiborsduifie
Red-Chested Cuckoo,Piet-my-vrou
Klaass Cuckoo,Meitjie
Diederik Cuckoo,Diederikkie
Fiery-necked Nightjar,Afrikaanse Naguil
Palm Swift,Palmwindswael
White-rumped Swift,Witkruiswindswael
Little Swift,Kleinwindswael
White-backed Mousebird,Witkruismuisvoël
Malachite Kingfisher,Kuifkopvisvanger
Giant Kingfisher,Reuse Visvanger
European Bee-eater,Europese byvreter
African Hoopoe,Hoephoep
Acacia Pied Barbet,Bonthoutkapper
Large-billed Lark,Dikbeklewerik
Barn Swallow,Europese Swael
White-throated Swallow,Witkeelswael
Pearl-breasted Swallow,Pêrelborsswael
Greater Striped Swallow,Grootstreepswael
Brown-throated Martin,Afrikaanse Oewerswael
Black Saw-wing,Swartsaagvlerkswael
Pied Crow,Witborskraai
Cape Bulbul,Kaapse Tiptol
Olive Thrush,Olyflyster
Karoo Robin,Slangverklikker
Cape Robin-Chat,Gewone Janfrederik
Common Reed-warbler,Kleinrietsanger
Lesser Swamp Warbler,Kaapse Rietsanger
Grey-backed Cisticola,Grysrugtinktinkie
Levaillant's Cisticola,Vleitinktinkie Le
Karoo Prinia,Karoolangstertjie
Fiscal Flycatcher,Fiskaalvlieëvanger
African Paradise Flycatcher,Paradysvlieëvanger
Cape Wagtail,Gewone Kwikkie
Southern Boubou,Fiskaallaksman
Bokmakierie,Bokmakierie
Red-winged Starling,Rooivlerkspreeu
Malachite Sunbird,Jangroentjie
Southern Double-collared Sunbird,Klein-rooibandsuikerbekkie
Amethyst Sunbird,Swart Suikerbekkie
Cape White-eye,Kaapse Glasogie
House Sparrow,Huismossie
Cape Sparrow,Gewone Mossie
Southern Grey-headed Sparrow,Gryskopmossie
Cape Weaver,Kaapse Wewer
Southern Masked Weaver,Swartkeelgeelvink
Red Bishop,Rooivink
Yellow Bishop,Kaapse Flap
Common Waxbill,Rooibeksysie
Swee Waxbill,Suidelike Swie
Pin-tailed Whydah,Koningrooibekkie
Cape Canary,Kaapse Kanarie
Brimstone Canary,Dikbekkanarie
Yello Canary,Geelkanarie
Yellow-billed Kite,Geelbekwou
White-breasted Cormorant,Witborsduiker
African Darter,Slanghalsvoël
Common Moorhen,Grootwaterhoender
Kelp Gull,Kelpmeeu
Spotted Eagle-Owl,Gevlekte Ooruil
African Stonechat,Gewone Bontrokkie
African Pipit,Gewone Koester
Fork-tailed Drongo,Mikstertbyvanger
European Starling,Europese Spreeu
Cape Sugarbird,Kaapse Suikervoël
