Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
722,,Bokmakierie,Telophorus,zeylonus,32.1429,9,2024-12-15,3.0303,1,2023-06-17
72,,Hamerkop,Scopus,umbretta,3.5714,1,2024-12-15,9.0909,3,2019-01-18
1016,,Mallard,Anas,platyrhynchos,3.5714,1,2019-06-10,0.0000,0,-
637,,Neddicky,Cisticola,fulvicapilla,10.7143,3,2020-09-04,0.0000,0,-
622,Apalis,Bar-throated,Apalis,thoracica,39.2857,11,2023-10-26,3.0303,1,2023-10-26
432,Barbet,"Acacia Pied",Tricholaema,leucomelas,14.2857,4,2023-10-05,0.0000,0,-
672,Batis,Cape,Batis,capensis,35.7143,10,2024-12-15,3.0303,1,2009-06-19
404,Bee-eater,European,Merops,apiaster,3.5714,1,2017-02-21,0.0000,0,-
810,Bishop,Yellow,Euplectes,capensis,57.1429,16,2023-10-26,6.0606,2,2023-10-26
709,Boubou,Southern,Laniarius,ferrugineus,32.1429,9,2022-11-27,3.0303,1,2009-06-19
543,Bulbul,Cape,Pycnonotus,capensis,78.5714,22,2024-12-15,12.1212,4,2023-10-26
154,Buzzard,Common,Buteo,buteo,17.8571,5,2024-12-15,9.0909,3,2024-02-17
152,Buzzard,Jackal,Buteo,rufofuscus,67.8571,19,2024-12-15,15.1515,5,2023-10-26
863,Canary,Brimstone,Crithagra,sulphurata,21.4286,6,2024-12-15,3.0303,1,2023-10-26
857,Canary,Cape,Serinus,canicollis,92.8571,26,2024-12-15,24.2424,8,2023-10-26
865,Canary,White-throated,Crithagra,albogularis,0.0000,0,-,3.0303,1,2009-06-19
866,Canary,Yellow,Crithagra,flaviventris,17.8571,5,2022-11-27,3.0303,1,2022-10-26
638,Cisticola,Grey-backed,Cisticola,subruficapilla,10.7143,3,2022-07-16,0.0000,0,-
646,Cisticola,Levaillant's,Cisticola,tinniens,60.7143,17,2024-12-15,6.0606,2,2023-10-26
629,Cisticola,Zitting,Cisticola,juncidis,21.4286,6,2024-12-15,0.0000,0,-
212,Coot,Red-knobbed,Fulica,cristata,67.8571,19,2024-12-15,12.1212,4,2023-06-17
50,Cormorant,Reed,Microcarbo,africanus,71.4286,20,2024-12-15,12.1212,4,2021-12-18
47,Cormorant,White-breasted,Phalacrocorax,lucidus,28.5714,8,2023-10-05,0.0000,0,-
203,Crake,Black,Zaporina,flavirostra,7.1429,2,2020-09-04,3.0303,1,2023-06-17
216,Crane,Blue,Grus,paradisea,0.0000,0,-,3.0303,1,2022-12-24
989,Crow,House,Corvus,splendens,3.5714,1,2016-12-05,0.0000,0,-
522,Crow,Pied,Corvus,albus,96.4286,27,2024-12-15,36.3636,12,2024-01-07
352,Cuckoo,Diederik,Chrysococcyx,caprius,3.5714,1,2023-10-05,0.0000,0,-
351,Cuckoo,Klaas's,Chrysococcyx,klaas,35.7143,10,2024-12-15,3.0303,1,2023-10-26
52,Darter,African,Anhinga,rufa,28.5714,8,2024-12-15,3.0303,1,2019-01-18
317,Dove,Laughing,Spilopelia,senegalensis,42.8571,12,2024-12-15,18.1818,6,2024-04-20
318,Dove,Namaqua,Oena,capensis,3.5714,1,2010-04-25,0.0000,0,-
314,Dove,Red-eyed,Streptopelia,semitorquata,85.7143,24,2024-12-15,18.1818,6,2024-09-27
316,Dove,Ring-necked,Streptopelia,capicola,75.0000,21,2024-12-15,15.1515,5,2021-12-18
940,Dove,Rock,Columba,livia,39.2857,11,2024-12-15,15.1515,5,2024-09-27
517,Drongo,Fork-tailed,Dicrurus,adsimilis,46.4286,13,2023-10-05,3.0303,1,2021-12-18
95,Duck,"African Black",Anas,sparsa,7.1429,2,2014-02-05,3.0303,1,2009-06-19
96,Duck,Yellow-billed,Anas,undulata,60.7143,17,2024-12-15,3.0303,1,2009-06-19
139,Eagle,Booted,Hieraaetus,pennatus,25.0000,7,2024-12-15,0.0000,0,-
368,Eagle-Owl,Spotted,Bubo,africanus,10.7143,3,2015-09-21,3.0303,1,2009-06-19
60,Egret,Intermediate,Ardea,intermedia,3.5714,1,2024-12-15,0.0000,0,-
59,Egret,Little,Egretta,garzetta,3.5714,1,2008-08-01,3.0303,1,2018-02-22
61,Egret,"Western Cattle",Bubulcus,ibis,60.7143,17,2024-12-15,3.0303,1,2018-02-22
113,Falcon,Peregrine,Falco,peregrinus,3.5714,1,2014-10-11,6.0606,2,2023-06-17
707,Fiscal,Southern,Lanius,collaris,75.0000,21,2024-12-15,12.1212,4,2023-10-26
149,"Fish Eagle",African,Haliaeetus,vocifer,17.8571,5,2022-11-27,6.0606,2,2023-05-27
655,Flycatcher,"African Dusky",Muscicapa,adusta,28.5714,8,2017-03-01,3.0303,1,2019-01-18
682,Flycatcher,"African Paradise",Terpsiphone,viridis,25.0000,7,2024-12-15,3.0303,1,2023-10-26
665,Flycatcher,Fiscal,Melaenornis,silens,78.5714,22,2024-12-15,12.1212,4,2023-10-26
89,Goose,Egyptian,Alopochen,aegyptiaca,92.8571,26,2024-12-15,21.2121,7,2023-10-26
88,Goose,Spur-winged,Plectropterus,gambensis,10.7143,3,2022-07-16,0.0000,0,-
160,Goshawk,African,Accipiter,tachiro,25.0000,7,2022-11-27,0.0000,0,-
6,Grebe,Little,Tachybaptus,ruficollis,35.7143,10,2024-12-15,9.0909,3,2023-06-17
192,Guineafowl,Helmeted,Numida,meleagris,89.2857,25,2024-12-15,18.1818,6,2023-10-26
288,Gull,Grey-headed,Chroicocephalus,cirrocephalus,7.1429,2,2023-10-05,0.0000,0,-
289,Gull,Hartlaub's,Chroicocephalus,hartlaubii,21.4286,6,2020-09-04,9.0909,3,2018-12-08
287,Gull,Kelp,Larus,dominicanus,17.8571,5,2014-09-21,0.0000,0,-
171,Harrier-Hawk,African,Polyboroides,typus,10.7143,3,2023-10-05,0.0000,0,-
55,Heron,Black-headed,Ardea,melanocephala,46.4286,13,2024-12-15,9.0909,3,2023-10-26
54,Heron,Grey,Ardea,cinerea,32.1429,9,2020-09-04,9.0909,3,2020-11-18
57,Heron,Purple,Ardea,purpurea,14.2857,4,2024-12-15,0.0000,0,-
442,Honeyguide,Lesser,Indicator,minor,7.1429,2,2017-09-03,0.0000,0,-
418,Hoopoe,African,Upupa,africana,7.1429,2,2019-06-10,3.0303,1,2018-02-22
81,Ibis,"African Sacred",Threskiornis,aethiopicus,78.5714,22,2024-12-15,15.1515,5,2020-11-18
83,Ibis,Glossy,Plegadis,falcinellus,7.1429,2,2024-12-15,0.0000,0,-
84,Ibis,Hadada,Bostrychia,hagedash,96.4286,27,2024-12-15,18.1818,6,2024-09-27
123,Kestrel,Rock,Falco,rupicolus,14.2857,4,2024-12-15,0.0000,0,-
395,Kingfisher,Giant,Megaceryle,maxima,3.5714,1,2023-10-26,6.0606,2,2023-10-26
397,Kingfisher,Malachite,Corythornis,cristatus,7.1429,2,2016-12-05,3.0303,1,2019-01-18
130,Kite,Black-winged,Elanus,caeruleus,39.2857,11,2024-12-15,12.1212,4,2024-01-07
129,Kite,Yellow-billed,Milvus,aegyptius,53.5714,15,2024-12-15,12.1212,4,2024-01-07
245,Lapwing,Blacksmith,Vanellus,armatus,64.2857,18,2024-12-15,3.0303,1,2009-06-19
242,Lapwing,Crowned,Vanellus,coronatus,7.1429,2,2010-04-25,3.0303,1,2023-06-17
488,Lark,Red-capped,Calandrella,cinerea,3.5714,1,2009-10-05,0.0000,0,-
10015,Mallard,Hybrid,Anas,hybrid,10.7143,3,2017-03-01,0.0000,0,-
509,Martin,Brown-throated,Riparia,paludicola,35.7143,10,2024-12-15,3.0303,1,2023-06-17
506,Martin,Rock,Ptyonoprogne,fuligula,3.5714,1,2020-09-04,0.0000,0,-
210,Moorhen,Common,Gallinula,chloropus,64.2857,18,2024-12-15,6.0606,2,2023-06-17
392,Mousebird,Red-faced,Urocolius,indicus,25.0000,7,2022-07-16,3.0303,1,2018-12-08
390,Mousebird,Speckled,Colius,striatus,25.0000,7,2022-07-16,0.0000,0,-
391,Mousebird,White-backed,Colius,colius,28.5714,8,2023-10-26,6.0606,2,2023-10-26
69,"Night Heron",Black-crowned,Nycticorax,nycticorax,7.1429,2,2016-12-05,6.0606,2,2023-06-17
1021,Peafowl,Indian,Pavo,cristatus,10.7143,3,2024-12-15,3.0303,1,2018-01-21
42,Pelican,"Great White",Pelecanus,onocrotalus,3.5714,1,2009-10-05,0.0000,0,-
311,Pigeon,Speckled,Columba,guinea,67.8571,19,2024-12-15,24.2424,8,2024-04-20
692,Pipit,African,Anthus,cinnamomeus,17.8571,5,2024-12-15,0.0000,0,-
238,Plover,Three-banded,Charadrius,tricollaris,10.7143,3,2023-10-05,0.0000,0,-
4139,Prinia,Karoo,Prinia,maculosa,78.5714,22,2024-12-15,9.0909,3,2023-10-26
189,Quail,Common,Coturnix,coturnix,3.5714,1,2015-09-21,0.0000,0,-
524,Raven,White-necked,Corvus,albicollis,3.5714,1,2012-08-18,0.0000,0,-
808,"Red Bishop",Southern,Euplectes,orix,53.5714,15,2024-12-15,6.0606,2,2023-08-27
581,Robin-Chat,Cape,Cossypha,caffra,92.8571,26,2024-12-15,18.1818,6,2023-10-26
511,Saw-wing,Black,Psalidoprocne,pristoptera,17.8571,5,2023-10-26,3.0303,1,2018-01-21
583,"Scrub Robin",Karoo,Cercotrichas,coryphoeus,3.5714,1,2017-03-01,0.0000,0,-
94,Shoveler,Cape,Anas,smithii,10.7143,3,2024-12-15,0.0000,0,-
855,Siskin,Cape,Crithagra,totta,0.0000,0,-,3.0303,1,2009-06-19
786,Sparrow,Cape,Passer,melanurus,75.0000,21,2024-12-15,18.1818,6,2024-09-27
784,Sparrow,House,Passer,domesticus,39.2857,11,2024-12-15,6.0606,2,2022-08-24
4142,Sparrow,"Southern Grey-headed",Passer,diffusus,14.2857,4,2024-12-15,0.0000,0,-
159,Sparrowhawk,Black,Accipiter,melanoleucus,28.5714,8,2020-09-04,3.0303,1,2018-01-21
156,Sparrowhawk,Rufous-breasted,Accipiter,rufiventris,7.1429,2,2022-07-16,3.0303,1,2009-06-19
85,Spoonbill,African,Platalea,alba,10.7143,3,2024-12-15,3.0303,1,2018-01-21
181,Spurfowl,Cape,Pternistis,capensis,57.1429,16,2024-12-15,9.0909,3,2023-10-26
733,Starling,Common,Sturnus,vulgaris,92.8571,26,2024-12-15,24.2424,8,2024-09-27
745,Starling,Red-winged,Onychognathus,morio,17.8571,5,2023-10-05,6.0606,2,2018-12-08
270,Stilt,Black-winged,Himantopus,himantopus,0.0000,0,-,3.0303,1,2018-02-22
576,Stonechat,African,Saxicola,torquatus,3.5714,1,2024-12-15,0.0000,0,-
772,Sunbird,Amethyst,Chalcomitra,amethystina,3.5714,1,2014-02-05,0.0000,0,-
751,Sunbird,Malachite,Nectarinia,famosa,67.8571,19,2024-12-15,12.1212,4,2023-10-26
753,Sunbird,Orange-breasted,Anthobaphes,violacea,0.0000,0,-,3.0303,1,2009-06-19
760,Sunbird,"Southern  Double-collared",Cinnyris,chalybeus,60.7143,17,2024-12-15,12.1212,4,2023-10-26
493,Swallow,Barn,Hirundo,rustica,25.0000,7,2024-12-15,0.0000,0,-
502,Swallow,"Greater Striped",Cecropis,cucullata,53.5714,15,2024-12-15,9.0909,3,2023-10-26
498,Swallow,Pearl-breasted,Hirundo,dimidiata,3.5714,1,2024-12-15,3.0303,1,2018-12-08
495,Swallow,White-throated,Hirundo,albigularis,25.0000,7,2024-12-15,0.0000,0,-
